epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43212,2.61081,5.49542,2.11213,0.00069,0.21429,0.00048,0.00013,2.11891,5.81302,1.90049,0.00012,0.00012,0.00012
2,3.17065,2.07016,4.80806,1.72397,0.00184,0.57143,0.00331,0.00146,1.88564,5.44686,1.56355,0.000257426,0.000257426,0.000257426
3,4.82054,1.90459,4.36056,1.49699,0.00195,0.60714,0.0446,0.03211,1.73758,5.40184,1.44005,0.00039208,0.00039208,0.00039208
4,6.31192,1.83154,3.34907,1.48818,0.00241,0.75,0.02268,0.00894,1.60254,5.13793,1.44519,0.000523962,0.000523962,0.000523962
5,7.82491,1.80697,3.14583,1.52961,0.00207,0.64286,0.07107,0.03033,1.83599,5.42988,1.79179,0.000653072,0.000653072,0.000653072
6,9.32705,1.81533,3.30381,1.53319,0.0023,0.71429,0.0568,0.02072,1.71166,5.21531,1.70476,0.00077941,0.00077941,0.00077941
7,10.8366,1.89526,3.04608,1.49852,0.00264,0.82143,0.06477,0.02093,1.68585,5.21799,1.56255,0.000902976,0.000902976,0.000902976
8,12.2635,1.9214,2.92532,1.56769,0.001,0.21429,0.00975,0.00332,1.58676,5.08859,1.50386,0.00102377,0.00102377,0.00102377
9,13.7444,1.7188,2.66264,1.43176,0.00302,0.75,0.0061,0.00254,1.75695,5.12453,1.84712,0.00114179,0.00114179,0.00114179
10,15.2437,1.72582,2.53659,1.56444,0.20241,0.07143,0.08285,0.02982,1.77789,5.0853,1.84756,0.00125704,0.00125704,0.00125704
11,17.3006,1.77472,2.48287,1.46332,0.00276,0.85714,0.00276,0.00107,1.79463,5.0174,1.84332,0.00136952,0.00136952,0.00136952
12,18.7705,1.56837,2.33058,1.37767,0.34278,0.14286,0.15949,0.05475,1.8476,4.71118,2.03881,0.00147923,0.00147923,0.00147923
13,20.1726,1.72999,2.38,1.47119,1,0.13685,0.41557,0.15206,1.92164,4.3371,1.7153,0.00158616,0.00158616,0.00158616
14,21.6509,1.73543,2.21995,1.39157,0.51495,0.30387,0.32195,0.12424,2.0334,4.08796,1.86248,0.00169032,0.00169032,0.00169032
15,23.0885,1.58213,2.13758,1.4002,0.73099,0.42857,0.55056,0.22914,1.89854,3.29351,1.82246,0.0017228,0.0017228,0.0017228
16,24.5582,1.66245,2.14595,1.44441,0.63456,0.31065,0.38511,0.15436,1.78853,3.35665,1.75207,0.001703,0.001703,0.001703
17,25.9465,1.67318,2.10369,1.47594,0.59933,0.37446,0.45586,0.18815,1.7311,3.23357,1.73235,0.0016832,0.0016832,0.0016832
18,27.3805,1.6627,2.02311,1.43372,0.60694,0.2763,0.39633,0.14168,1.90316,3.26434,1.80197,0.0016634,0.0016634,0.0016634
19,28.8039,1.72124,2.06733,1.51148,0.50258,0.14286,0.23468,0.07224,2.01245,3.57086,2.0097,0.0016436,0.0016436,0.0016436
20,30.2361,1.66705,1.99773,1.41175,0.43731,0.32143,0.34,0.10792,1.85696,3.10999,2.1344,0.0016238,0.0016238,0.0016238
21,31.6152,1.59499,1.87106,1.40681,0.68057,0.64286,0.59275,0.22027,1.75826,2.73791,2.08932,0.001604,0.001604,0.001604
22,33.0441,1.6524,1.97321,1.46227,0.87845,0.57143,0.64402,0.2831,1.75705,2.44652,2.93894,0.0015842,0.0015842,0.0015842
23,34.4813,1.5921,1.69112,1.38102,0.94127,0.46429,0.51569,0.18215,2.31015,3.02397,2.58731,0.0015644,0.0015644,0.0015644
24,35.9446,1.56897,1.77217,1.33977,0.76015,0.53571,0.56712,0.22087,1.89055,3.13472,2.07111,0.0015446,0.0015446,0.0015446
25,37.3316,1.69276,1.78391,1.41418,0.42737,0.37352,0.3236,0.13295,1.86194,5.10109,2.14544,0.0015248,0.0015248,0.0015248
26,38.782,1.48567,1.5257,1.28723,0.69082,0.39931,0.47004,0.19569,1.87964,3.43093,2.5761,0.001505,0.001505,0.001505
27,40.2101,1.51148,1.61647,1.39218,0.92174,0.42857,0.49008,0.19859,1.95085,2.84657,2.26664,0.0014852,0.0014852,0.0014852
28,41.6405,1.52681,1.50138,1.36439,0.93011,0.57143,0.71538,0.32842,1.88076,2.25932,1.68622,0.0014654,0.0014654,0.0014654
29,43.0545,1.53604,1.51456,1.35444,0.90098,0.57143,0.71156,0.31402,1.86214,2.42769,1.66442,0.0014456,0.0014456,0.0014456
30,44.5016,1.46293,1.46732,1.30649,0.79766,0.46429,0.58528,0.30143,1.74585,3.53484,1.66716,0.0014258,0.0014258,0.0014258
31,45.9354,1.56169,1.47151,1.34668,0.51974,0.67857,0.64041,0.32985,1.77215,3.3212,1.70753,0.001406,0.001406,0.001406
32,47.3627,1.52616,1.46855,1.41264,0.70227,0.71429,0.73401,0.4296,1.64321,2.40649,1.61579,0.0013862,0.0013862,0.0013862
33,48.8012,1.45832,1.36115,1.28467,0.82119,0.75,0.80574,0.42652,1.68145,1.99268,1.59661,0.0013664,0.0013664,0.0013664
34,50.2903,1.46269,1.40065,1.25646,0.78434,0.75,0.81171,0.41973,1.68091,1.51507,1.53492,0.0013466,0.0013466,0.0013466
35,51.7309,1.45528,1.37775,1.33988,0.90773,0.75,0.83919,0.41896,1.68494,1.41154,1.51725,0.0013268,0.0013268,0.0013268
36,53.1447,1.52994,1.30456,1.34887,0.94748,0.71429,0.84401,0.36169,1.79396,1.62239,1.60173,0.001307,0.001307,0.001307
37,54.5338,1.5,1.32302,1.25959,0.95234,0.71369,0.85403,0.40405,1.72415,1.50096,1.54831,0.0012872,0.0012872,0.0012872
38,55.9623,1.33275,1.22174,1.22694,0.73622,0.71429,0.77502,0.34582,1.76861,1.60971,1.60139,0.0012674,0.0012674,0.0012674
39,57.3894,1.31771,1.14427,1.21466,0.70021,0.82143,0.81831,0.39359,1.76519,1.55376,1.62474,0.0012476,0.0012476,0.0012476
40,58.8333,1.38482,1.25286,1.21029,0.83433,0.71429,0.79705,0.40587,1.7288,1.45319,1.54453,0.0012278,0.0012278,0.0012278
41,60.2165,1.31378,1.11386,1.24577,0.93864,0.67857,0.83793,0.42484,1.70624,1.39545,1.52402,0.001208,0.001208,0.001208
42,61.6733,1.45906,1.18185,1.2535,0.84753,0.78571,0.84697,0.40943,1.79275,1.44775,1.57288,0.0011882,0.0011882,0.0011882
43,63.0884,1.45353,1.26642,1.28883,0.80263,0.75,0.80548,0.4081,1.76616,1.50805,1.54242,0.0011684,0.0011684,0.0011684
44,64.5011,1.31817,1.07052,1.21881,0.91667,0.78579,0.87933,0.43154,1.69066,1.30273,1.51576,0.0011486,0.0011486,0.0011486
45,65.9391,1.31987,1.12532,1.23543,0.8607,0.88296,0.92304,0.45544,1.64267,1.22615,1.50668,0.0011288,0.0011288,0.0011288
46,67.38,1.27229,1.01943,1.17214,0.98029,0.78571,0.86176,0.42118,1.60315,1.27332,1.54782,0.001109,0.001109,0.001109
47,68.7989,1.32162,1.04651,1.1901,0.9471,0.78571,0.90496,0.43273,1.66371,1.24955,1.57207,0.0010892,0.0010892,0.0010892
48,70.1945,1.2116,1.05139,1.16715,0.99861,0.78571,0.92164,0.43155,1.70921,1.20702,1.5919,0.0010694,0.0010694,0.0010694
49,71.5848,1.26448,1.02999,1.19236,1,0.84671,0.93795,0.4026,1.7559,1.20026,1.63771,0.0010496,0.0010496,0.0010496
50,73.0064,1.34542,1.07923,1.24627,0.9135,0.82143,0.89285,0.41898,1.74264,1.11563,1.64051,0.0010298,0.0010298,0.0010298
51,74.4183,1.31733,1.03631,1.20187,1,0.81521,0.87714,0.41521,1.72658,1.16615,1.62328,0.00101,0.00101,0.00101
52,75.8271,1.21927,1.01644,1.15717,0.98792,0.78571,0.90256,0.42348,1.74905,1.09511,1.59632,0.0009902,0.0009902,0.0009902
53,77.2107,1.2543,0.99619,1.16006,0.86153,0.88892,0.91716,0.41949,1.80911,1.12743,1.62912,0.0009704,0.0009704,0.0009704
54,78.6395,1.32716,1.01734,1.28498,0.98708,0.78571,0.91937,0.41547,1.85026,1.19402,1.65338,0.0009506,0.0009506,0.0009506
55,80.0545,1.22418,0.95961,1.19607,0.95543,0.76594,0.89498,0.43781,1.67782,1.11114,1.53803,0.0009308,0.0009308,0.0009308
56,81.4653,1.23638,0.98407,1.16799,0.95057,0.82143,0.91247,0.44544,1.65665,1.08507,1.52791,0.000911,0.000911,0.000911
57,82.8483,1.28817,0.94773,1.16318,0.95487,0.85714,0.90758,0.42282,1.66637,1.14929,1.55666,0.0008912,0.0008912,0.0008912
58,84.2711,1.10366,0.89931,1.11716,0.99199,0.85714,0.92164,0.4145,1.78567,1.13984,1.64632,0.0008714,0.0008714,0.0008714
59,85.6896,1.2044,0.89052,1.17617,0.99245,0.92857,0.94822,0.43386,1.78347,0.97883,1.65092,0.0008516,0.0008516,0.0008516
60,87.1183,1.19799,0.9464,1.17573,0.96177,0.89856,0.94827,0.47001,1.77493,0.97058,1.61758,0.0008318,0.0008318,0.0008318
61,89.8727,1.13817,0.90761,1.09956,0.96199,0.90418,0.95068,0.46156,1.75692,1.0357,1.58729,0.000812,0.000812,0.000812
62,91.2861,1.1674,0.85962,1.10248,0.99038,0.89286,0.94899,0.44673,1.72738,1.03461,1.5809,0.0007922,0.0007922,0.0007922
63,92.7055,1.18587,0.91953,1.17089,1,0.88452,0.93616,0.43166,1.66716,1.07244,1.53855,0.0007724,0.0007724,0.0007724
64,94.1132,1.1542,0.8412,1.09221,1,0.91457,0.93783,0.47609,1.63392,1.07782,1.4793,0.0007526,0.0007526,0.0007526
65,95.5303,1.13348,0.87811,1.09757,1,0.92409,0.93752,0.46179,1.62375,1.04426,1.46879,0.0007328,0.0007328,0.0007328
66,96.9523,1.15812,0.86498,1.16353,0.9598,0.85289,0.91784,0.42477,1.6849,1.09376,1.55096,0.000713,0.000713,0.000713
67,98.3691,1.16294,0.81671,1.13777,0.89006,0.89286,0.9041,0.44005,1.6825,1.01515,1.56409,0.0006932,0.0006932,0.0006932
68,99.7808,1.10084,0.84268,1.09255,0.92431,0.89286,0.90501,0.4554,1.65981,0.98205,1.52411,0.0006734,0.0006734,0.0006734
69,101.154,1.16154,0.84088,1.17281,0.91786,0.89286,0.90517,0.47255,1.64646,0.97957,1.50659,0.0006536,0.0006536,0.0006536
70,102.571,1.07664,0.80084,1.12168,0.9478,0.89286,0.90545,0.46024,1.64702,0.98784,1.50859,0.0006338,0.0006338,0.0006338
71,103.982,1.04742,0.75809,1.06725,0.92454,0.89286,0.91454,0.43223,1.71023,1.01756,1.57703,0.000614,0.000614,0.000614
72,105.42,1.15949,0.82758,1.15496,0.94959,0.89286,0.89549,0.4618,1.61108,0.99003,1.51478,0.0005942,0.0005942,0.0005942
73,106.838,1.20254,0.85049,1.16839,0.95388,0.89286,0.91953,0.47278,1.58404,0.99698,1.47656,0.0005744,0.0005744,0.0005744
74,108.257,1.13226,0.80022,1.1018,0.95036,0.92857,0.92887,0.4696,1.65019,0.98252,1.5018,0.0005546,0.0005546,0.0005546
75,109.683,1.10651,0.77263,1.09579,0.96266,0.92096,0.93844,0.44308,1.69533,0.93324,1.54033,0.0005348,0.0005348,0.0005348
76,111.093,0.9862,0.76573,1.05527,0.94815,0.92857,0.93687,0.45883,1.67555,0.91771,1.52757,0.000515,0.000515,0.000515
77,112.467,1.07254,0.76773,1.11346,0.95316,0.92857,0.93177,0.4626,1.66078,0.92488,1.53025,0.0004952,0.0004952,0.0004952
78,113.894,1.05858,0.75031,1.09876,0.95173,0.92857,0.92351,0.48356,1.60105,0.93288,1.49771,0.0004754,0.0004754,0.0004754
79,115.337,1.05265,0.78899,1.06966,0.96064,0.92857,0.92313,0.47011,1.59256,0.97619,1.49177,0.0004556,0.0004556,0.0004556
80,116.754,1.09361,0.77606,1.04659,0.93085,0.89286,0.92737,0.49202,1.58256,0.98651,1.48595,0.0004358,0.0004358,0.0004358
81,118.164,0.96641,0.78195,1.05195,0.90362,0.92857,0.92726,0.48453,1.58814,0.97226,1.49044,0.000416,0.000416,0.000416
82,119.584,1.03966,0.76023,1.08575,0.91782,0.89286,0.93062,0.48975,1.5968,0.94405,1.50414,0.0003962,0.0003962,0.0003962
83,121.001,0.97539,0.72037,1.02437,0.995,0.85714,0.92405,0.47416,1.61972,0.96376,1.53266,0.0003764,0.0003764,0.0003764
84,122.451,0.95534,0.72835,1.00895,0.98673,0.82143,0.90284,0.45434,1.61179,0.93364,1.54186,0.0003566,0.0003566,0.0003566
85,123.884,1.12986,0.79645,1.14401,0.98916,0.82143,0.90598,0.46283,1.61069,0.93167,1.54311,0.0003368,0.0003368,0.0003368
